Atom IX,BE [eV]
3743,0.08611937365500966
3747,-0.031900213001916644
3750,-0.7209921526006013
3756,0.8822886213446877
3758,-0.14714203121323466
3760,0.008228706904725325
3762,0.49969391266434027
3766,0.41374396371794947
3769,-0.18212498476127692
3908,1.9898404327435761
3910,-0.18547069442420583
3912,0.02340972237888539
3914,0.40737952548146517
3918,0.09059195520272872
3921,-0.6719175340063126
4003,2.7401753857065545
4005,1.4606507220681777
4007,1.862627836753919
4009,2.3169150715510964
4013,1.1574930064478746
4051,0.007521283561975789
4054,-0.6606341487744265
4060,2.0694815963000073
4062,1.1090959765036423
4064,1.208968889735699
4066,1.5311937049489588
4070,0.36726982571914885
4073,-0.3255032420169188
4136,0.9543552341101125
4142,-0.08904913719581131
4146,0.04597678166152097
4149,-0.5670941316318157
